time	V(n001)	V(n002)
4.818325994340155e-04	1.911701e+00	-7.780962e-01
4.828325994340155e-04	1.975525e+00	-7.207991e-01
4.988325994340155e-04	2.937042e+00	2.034082e-01
4.998325994340155e-04	2.992820e+00	2.615422e-01
5.053273224768370e-04	3.288772e+00	5.794631e-01
5.063273224768370e-04	3.340632e+00	6.369979e-01
5.093792659611967e-04	3.494902e+00	8.111734e-01
5.112442176672404e-04	3.586114e+00	9.157678e-01
5.129346806032046e-04	3.666725e+00	1.007419e+00
5.145706572339142e-04	3.742823e+00	1.089590e+00
5.162372960351684e-04	3.818370e+00	1.160321e+00
5.183979698492778e-04	3.913275e+00	1.221817e+00
5.201364626554658e-04	3.987094e+00	1.246748e+00
5.220913081882236e-04	4.067336e+00	1.259689e+00
5.248466044279360e-04	4.175355e+00	1.267114e+00
5.280498679222733e-04	4.293279e+00	1.270707e+00
5.318001817985958e-04	4.420582e+00	1.274384e+00
5.371546908891871e-04	4.581583e+00	1.279235e+00
5.478637090703696e-04	4.827231e+00	1.286350e+00
5.692817454327346e-04	4.997263e+00	1.291698e+00
5.919577454327346e-04	4.701558e+00	1.285154e+00
5.929577454327346e-04	4.677533e+00	1.284335e+00
6.089577454327346e-04	4.174688e+00	1.269514e+00
6.099577454327346e-04	4.136165e+00	1.268621e+00
6.228057163016951e-04	3.573390e+00	1.250876e+00
6.238057163016951e-04	3.524596e+00	1.249051e+00
6.357430608393503e-04	2.892646e+00	1.223061e+00
6.367430608393503e-04	2.835867e+00	1.220513e+00
6.527003480285810e-04	1.863843e+00	1.162145e+00
6.537003480285810e-04	1.799387e+00	1.157324e+00
6.557003480285811e-04	1.669451e+00	1.146505e+00
6.597003480285810e-04	1.405835e+00	1.122365e+00
6.607003480285811e-04	1.339224e+00	1.115525e+00
6.655687376665914e-04	1.011504e+00	1.076452e+00
6.665687376665914e-04	9.435693e-01	1.067159e+00
6.753055169426120e-04	3.437749e-01	9.594669e-01
6.763055169426121e-04	2.746359e-01	9.439077e-01
6.815204196166550e-04	-8.646882e-02	8.486654e-01
6.825204196166551e-04	-1.557201e-01	8.277028e-01
6.867230948534605e-04	-4.462788e-01	7.297728e-01
6.877230948534605e-04	-5.152294e-01	7.041447e-01
6.919941896796158e-04	-8.084487e-01	5.850862e-01
6.929941896796158e-04	-8.767295e-01	5.550026e-01
6.974348868978708e-04	-1.177730e+00	4.121969e-01
6.984348868978708e-04	-1.244938e+00	3.780148e-01
7.049711900784665e-04	-1.677762e+00	1.388436e-01
7.059711900784665e-04	-1.742855e+00	9.991565e-02
7.180437964396577e-04	-2.498728e+00	-4.055636e-01
7.190437964396578e-04	-2.558487e+00	-4.502575e-01
7.337442254932962e-04	-3.374486e+00	-1.130814e+00
7.347442254932962e-04	-3.425277e+00	-1.178583e+00
7.507442254932961e-04	-4.142295e+00	-1.936437e+00
7.517442254932962e-04	-4.180692e+00	-1.983279e+00
7.677442254932961e-04	-4.681383e+00	-2.695334e+00
7.687442254932962e-04	-4.705266e+00	-2.737396e+00
